[2025-10-01 21:10:55.762222] [0x0000007fa809e7c0] [MocapTag] [0x00001b60] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 21:10:55.766322] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [3] 1759367455766134, 2.70288, -0.00333293, -0.34324, -0.310098, -0.99968, -0.00661889, 0.0114057, 0.0216109, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.770593] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [5] 1759367455770483, 2.70723, -0.00333293, -0.34324, -0.310098, -0.99968, -0.00661889, 0.0114057, 0.0216109, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.773204] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [6] 1759367455773093, 2.70984, -0.00337099, -0.341453, -0.30904, -0.999619, -0.00942427, 0.0135437, 0.0221075, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.776157] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [7] 1759367455776070, 2.71281, -0.00337099, -0.341453, -0.30904, -0.999619, -0.00942427, 0.0135437, 0.0221075, -0.00380643, 0.178741, 0.105892, 0.550604, 0.440511, 0.0891998, 
[2025-10-01 21:10:55.780218] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [9] 1759367455780107, 2.71685, -0.00337099, -0.341453, -0.30904, -0.999619, -0.00942427, 0.0135437, 0.0221075, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.781699] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [10] 1759367455781559, 2.7183, -0.00339195, -0.34143, -0.30905, -0.999621, -0.00942559, 0.0134862, 0.0220895, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.786434] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [11] 1759367455786344, 2.72309, -0.00339195, -0.34143, -0.30905, -0.999621, -0.00942559, 0.0134862, 0.0220895, -0.00209597, 0.0022877, 0, 0, 0, 0, 
[2025-10-01 21:10:55.789391] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [13] 1759367455789281, 2.72603, -0.00339195, -0.34143, -0.30905, -0.999621, -0.00942559, 0.0134862, 0.0220895, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.791952] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [14] 1759367455791844, 2.72859, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.794936] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [15] 1759367455794801, 2.73155, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.797763] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [17] 1759367455797649, 2.73439, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.802036] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [18] 1759367455801929, 2.73867, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.804941] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [19] 1759367455804792, 2.74154, -0.00422552, -0.341993, -0.309113, -0.999654, -0.00818495, 0.0126328, 0.0215774, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.807957] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [21] 1759367455807839, 2.74458, -0.00422552, -0.341993, -0.309113, -0.999654, -0.00818495, 0.0126328, 0.0215774, -0.0849048, -0.0577921, -0.00730298, -0.239396, -0.179422, -0.0848304, 
[2025-10-01 21:10:55.810852] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [22] 1759367455810733, 2.74748, -0.00392356, -0.341755, -0.309034, -0.999636, -0.00872579, 0.0132772, 0.0217934, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.814356] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [23] 1759367455814237, 2.75098, -0.00392356, -0.341755, -0.309034, -0.999636, -0.00872579, 0.0132772, 0.0217934, 0.0301962, 0.0238493, 0.00788435, 0.104856, 0.13156, 0.0408083, 
[2025-10-01 21:10:55.818479] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [25] 1759367455818360, 2.7551, -0.00392356, -0.341755, -0.309034, -0.999636, -0.00872579, 0.0132772, 0.0217934, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.821181] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [26] 1759367455821067, 2.75781, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.824061] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [27] 1759367455823937, 2.76068, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0.0303485, 0.0208853, 0.014528, 0.0864744, 0.0519102, 0.150714, 
[2025-10-01 21:10:55.826729] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [29] 1759367455826671, 2.76342, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.829694] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [30] 1759367455829577, 2.76632, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.834086] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [31] 1759367455833971, 2.77072, -0.00362176, -0.341545, -0.308903, -0.999612, -0.00917303, 0.0135102, 0.0225464, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.836788] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [33] 1759367455836689, 2.77343, -0.00362176, -0.341545, -0.308903, -0.999612, -0.00917303, 0.0135102, 0.0225464, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.842331] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [34] 1759367455842210, 2.77895, -0.00362176, -0.341545, -0.308903, -0.999612, -0.00917303, 0.0135102, 0.0225464, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.843134] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [35] 1759367455843009, 2.77975, -0.00362412, -0.341523, -0.30889, -0.999612, -0.00922059, 0.0134841, 0.0225803, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.845196] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [36] 1759367455845078, 2.78182, -0.00362412, -0.341523, -0.30889, -0.999612, -0.00922059, 0.0134841, 0.0225803, 0, 0.00216946, 0, 0, 0, 0, 
[2025-10-01 21:10:55.848821] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [38] 1759367455848705, 2.78545, -0.00362412, -0.341523, -0.30889, -0.999612, -0.00922059, 0.0134841, 0.0225803, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.851311] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [39] 1759367455851192, 2.78794, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.854197] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [40] 1759367455854077, 2.79082, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, -0.00367101, 0, 0, 0, 0, 
[2025-10-01 21:10:55.856754] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [41] 1759367455856690, 2.79344, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.859501] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [43] 1759367455859380, 2.79612, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.864143] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [44] 1759367455864023, 2.80077, -0.00418451, -0.34302, -0.310003, -0.999666, -0.00709657, 0.0101354, 0.0226723, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.866755] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [46] 1759367455866693, 2.80344, -0.00418451, -0.34302, -0.310003, -0.999666, -0.00709657, 0.0101354, 0.0226723, -0.0572412, -0.145986, -0.110662, -0.398278, -0.687385, 0, 
[2025-10-01 21:10:55.869702] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [47] 1759367455869585, 2.80633, -0.00418451, -0.34302, -0.310003, -0.999666, -0.00709657, 0.0101354, 0.0226723, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.872201] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [48] 1759367455872089, 2.80883, -0.00410056, -0.342951, -0.310012, -0.99967, -0.00711467, 0.0101655, 0.0225014, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.875056] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [49] 1759367455874948, 2.81169, -0.00410056, -0.342951, -0.310012, -0.99967, -0.00711467, 0.0101655, 0.0225014, 0.008395, 0.00686055, 0, 0, 0, 0, 
[2025-10-01 21:10:55.879602] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [51] 1759367455879487, 2.81623, -0.00410056, -0.342951, -0.310012, -0.99967, -0.00711467, 0.0101655, 0.0225014, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.882311] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [52] 1759367455882200, 2.81894, -0.00342758, -0.341447, -0.308986, -0.999618, -0.00940647, 0.0135232, 0.0222122, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.885801] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [53] 1759367455885712, 2.82246, -0.00342758, -0.341447, -0.308986, -0.999618, -0.00940647, 0.0135232, 0.0222122, 0.0672981, 0.150432, 0.102589, 0.444245, 0.681126, -0.0683852, 
[2025-10-01 21:10:55.888769] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [55] 1759367455888658, 2.8254, -0.00342758, -0.341447, -0.308986, -0.999618, -0.00940647, 0.0135232, 0.0222122, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.891387] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [56] 1759367455891283, 2.82803, -0.0034248, -0.341437, -0.309031, -0.999621, -0.00938723, 0.0134328, 0.0221338, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.895471] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [57] 1759367455895352, 2.8321, -0.0034248, -0.341437, -0.309031, -0.999621, -0.00938723, 0.0134328, 0.0221338, 0, 0, -0.00454047, 0, 0, 0, 
[2025-10-01 21:10:55.898091] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [59] 1759367455897980, 2.83473, -0.0034248, -0.341437, -0.309031, -0.999621, -0.00938723, 0.0134328, 0.0221338, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.900656] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [60] 1759367455900549, 2.83729, -0.0039545, -0.341838, -0.309251, -0.999663, -0.00843971, 0.0126259, 0.0210401, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.904026] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [61] 1759367455903919, 2.84066, -0.0039545, -0.341838, -0.309251, -0.999663, -0.00843971, 0.0126259, 0.0210401, -0.0529705, -0.0401547, -0.0219258, -0.183201, -0.167318, -0.215033, 
[2025-10-01 21:10:55.906214] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [62] 1759367455906125, 2.84287, -0.0039545, -0.341838, -0.309251, -0.999663, -0.00843971, 0.0126259, 0.0210401, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.910086] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [64] 1759367455909974, 2.84672, -0.0039545, -0.341838, -0.309251, -0.999663, -0.00843971, 0.0126259, 0.0210401, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.912732] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [65] 1759367455912622, 2.84937, -0.00335193, -0.343246, -0.310112, -0.999678, -0.00659939, 0.0114441, 0.0216508, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.915751] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [66] 1759367455915636, 2.85238, -0.00335193, -0.343246, -0.310112, -0.999678, -0.00659939, 0.0114441, 0.0216508, 0.0602576, -0.140806, -0.0861057, -0.36459, -0.243248, 0.128284, 
[2025-10-01 21:10:55.918531] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [68] 1759367455918406, 2.85515, -0.00335193, -0.343246, -0.310112, -0.999678, -0.00659939, 0.0114441, 0.0216508, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.921057] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [69] 1759367455920948, 2.85769, -0.00339421, -0.343227, -0.31012, -0.99968, -0.00660677, 0.0113185, 0.0216236, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.925537] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [70] 1759367455925416, 2.86216, -0.00339421, -0.343227, -0.31012, -0.99968, -0.00660677, 0.0113185, 0.0216236, -0.00422877, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.930210] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [72] 1759367455930100, 2.86685, -0.00339421, -0.343227, -0.31012, -0.99968, -0.00660677, 0.0113185, 0.0216236, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.931380] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [73] 1759367455931279, 2.86802, -0.00332898, -0.343222, -0.310104, -0.999678, -0.00663823, 0.0114518, 0.0216518, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.934350] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [74] 1759367455934240, 2.87099, -0.00332898, -0.343222, -0.310104, -0.999678, -0.00663823, 0.0114518, 0.0216518, 0.00652293, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.937359] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [76] 1759367455937240, 2.87398, -0.00332898, -0.343222, -0.310104, -0.999678, -0.00663823, 0.0114518, 0.0216518, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.941213] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [77] 1759367455941103, 2.87785, -0.00332898, -0.343222, -0.310104, -0.999678, -0.00663823, 0.0114518, 0.0216518, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.944646] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [78] 1759367455944539, 2.88128, -0.00335635, -0.341407, -0.309033, -0.99962, -0.00939953, 0.0135189, 0.0220886, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.947103] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [80] 1759367455946983, 2.88373, -0.00335635, -0.341407, -0.309033, -0.99962, -0.00939953, 0.0135189, 0.0220886, -0.00273651, 0.181471, 0.107108, 0.542235, 0.426038, 0.0774447, 
[2025-10-01 21:10:55.949831] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [81] 1759367455949721, 2.88647, -0.00335635, -0.341407, -0.309033, -0.99962, -0.00939953, 0.0135189, 0.0220886, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.952446] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [82] 1759367455952336, 2.88908, -0.00358713, -0.34155, -0.308889, -0.999611, -0.00919417, 0.0135322, 0.0225918, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.957177] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [84] 1759367455957061, 2.89381, -0.00358713, -0.34155, -0.308889, -0.999611, -0.00919417, 0.0135322, 0.0225918, -0.0230778, -0.0142111, 0.0143608, -0.04251, 0, 0.10123, 
[2025-10-01 21:10:55.960105] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [85] 1759367455959992, 2.89674, -0.00358713, -0.34155, -0.308889, -0.999611, -0.00919417, 0.0135322, 0.0225918, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.962788] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [86] 1759367455962682, 2.89943, -0.00354478, -0.341548, -0.308876, -0.999609, -0.00923519, 0.0136103, 0.0226145, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.965522] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [87] 1759367455965405, 2.90215, -0.00354478, -0.341548, -0.308876, -0.999609, -0.00923519, 0.0136103, 0.0226145, 0.0042344, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.968432] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [89] 1759367455968311, 2.90506, -0.00354478, -0.341548, -0.308876, -0.999609, -0.00923519, 0.0136103, 0.0226145, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.971035] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [90] 1759367455970928, 2.90767, -0.00357293, -0.34156, -0.308898, -0.99961, -0.00918507, 0.013552, 0.0226127, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.974227] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [91] 1759367455974117, 2.91086, -0.00357293, -0.34156, -0.308898, -0.99961, -0.00918507, 0.013552, 0.0226127, -0.00281487, 0, -0.00223221, 0, 0, 0, 
[2025-10-01 21:10:55.976797] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [93] 1759367455976727, 2.91347, -0.00357293, -0.34156, -0.308898, -0.99961, -0.00918507, 0.013552, 0.0226127, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.979905] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [94] 1759367455979793, 2.91654, -0.00357293, -0.34156, -0.308898, -0.99961, -0.00918507, 0.013552, 0.0226127, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.982778] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [95] 1759367455982672, 2.91942, -0.00356673, -0.341517, -0.308878, -0.999609, -0.00929169, 0.0135337, 0.0226458, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.985403] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [96] 1759367455985289, 2.92203, -0.00356673, -0.341517, -0.308878, -0.999609, -0.00929169, 0.0135337, 0.0226458, 0, 0.00435803, 0, 0, 0, 0, 
[2025-10-01 21:10:55.990213] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [98] 1759367455990103, 2.92685, -0.00356673, -0.341517, -0.308878, -0.999609, -0.00929169, 0.0135337, 0.0226458, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.992537] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [99] 1759367455992427, 2.92917, -0.00356988, -0.341562, -0.308879, -0.999609, -0.0092632, 0.0135136, 0.0226649, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.995472] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [100] 1759367455995351, 2.9321, -0.00356988, -0.341562, -0.308879, -0.999609, -0.0092632, 0.0135136, 0.0226649, 0, -0.00452939, 0, 0, 0, 0, 
[2025-10-01 21:10:55.998375] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [102] 1759367455998225, 2.93497, -0.00356988, -0.341562, -0.308879, -0.999609, -0.0092632, 0.0135136, 0.0226649, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.001106] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [103] 1759367456000995, 2.93774, -0.0035208, -0.341546, -0.308968, -0.999612, -0.00938853, 0.0134975, 0.0225006, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.005792] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [104] 1759367456005707, 2.94245, -0.0035208, -0.341546, -0.308968, -0.999612, -0.00938853, 0.0134975, 0.0225006, 0.00490822, 0, -0.00889621, 0, 0, 0, 
[2025-10-01 21:10:56.008743] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [106] 1759367456008634, 2.94538, -0.0035208, -0.341546, -0.308968, -0.999612, -0.00938853, 0.0134975, 0.0225006, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.011680] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [107] 1759367456011543, 2.94829, -0.00346167, -0.341472, -0.308977, -0.999616, -0.00940014, 0.0134791, 0.0223188, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.014735] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [108] 1759367456014620, 2.95137, -0.00346167, -0.341472, -0.308977, -0.999616, -0.00940014, 0.0134791, 0.0223188, 0.00591274, 0.00732974, 0, 0, 0, -0.036373, 
[2025-10-01 21:10:56.017350] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [110] 1759367456017258, 2.954, -0.00346167, -0.341472, -0.308977, -0.999616, -0.00940014, 0.0134791, 0.0223188, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.021897] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [111] 1759367456021787, 2.95853, -0.00346167, -0.341472, -0.308977, -0.999616, -0.00940014, 0.0134791, 0.0223188, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.024669] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [112] 1759367456024560, 2.9613, -0.00399029, -0.341869, -0.309224, -0.999661, -0.00838107, 0.0126211, 0.0211862, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.027704] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [114] 1759367456027592, 2.96434, -0.00399029, -0.341869, -0.309224, -0.999661, -0.00838107, 0.0126211, 0.0211862, -0.0528616, -0.0396552, -0.0246988, -0.197148, -0.17794, -0.222556, 
[2025-10-01 21:10:56.030550] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [115] 1759367456030443, 2.96719, -0.00399029, -0.341869, -0.309224, -0.999661, -0.00838107, 0.0126211, 0.0211862, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.033137] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [116] 1759367456033028, 2.96977, -0.0025108, -0.342399, -0.30959, -0.999601, -0.00876319, 0.0127819, 0.023625, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.037935] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [118] 1759367456037823, 2.97457, -0.0025108, -0.342399, -0.30959, -0.999601, -0.00876319, 0.0127819, 0.023625, 0.147949, -0.0530052, -0.0365577, 0.0694275, 0.0379071, 0.486751, 
[2025-10-01 21:10:56.040616] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [119] 1759367456040499, 2.97724, -0.00246164, -0.34238, -0.309595, -0.9996, -0.00883136, 0.0128813, 0.0235881, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.043418] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [120] 1759367456043310, 2.98006, -0.00246164, -0.34238, -0.309595, -0.9996, -0.00883136, 0.0128813, 0.0235881, 0.00491532, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.046840] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [122] 1759367456046747, 2.98349, -0.00246164, -0.34238, -0.309595, -0.9996, -0.00883136, 0.0128813, 0.0235881, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.048952] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [123] 1759367456048836, 2.98558, -0.00246164, -0.34238, -0.309595, -0.9996, -0.00883136, 0.0128813, 0.0235881, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.053367] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [124] 1759367456053255, 2.99, -0.00246792, -0.342388, -0.309596, -0.999599, -0.00883223, 0.0128554, 0.023622, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.056357] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [126] 1759367456056287, 2.99303, -0.00246792, -0.342388, -0.309596, -0.999599, -0.00883223, 0.0128554, 0.023622, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.059336] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [127] 1759367456059224, 2.99597, -0.00246792, -0.342388, -0.309596, -0.999599, -0.00883223, 0.0128554, 0.023622, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.062177] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [128] 1759367456062071, 2.99882, -0.00253319, -0.342388, -0.309622, -0.999603, -0.0088097, 0.0127248, 0.0235614, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.066051] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [129] 1759367456065966, 3.00271, -0.00253319, -0.342388, -0.309622, -0.999603, -0.0088097, 0.0127248, 0.0235614, -0.00652695, 0, -0.00268073, 0, 0, 0, 
[2025-10-01 21:10:56.069488] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [131] 1759367456069376, 3.00612, -0.00253319, -0.342388, -0.309622, -0.999603, -0.0088097, 0.0127248, 0.0235614, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.072158] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [132] 1759367456072052, 3.0088, -0.00248758, -0.342378, -0.30962, -0.9996, -0.00884184, 0.0128533, 0.0236039, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.075146] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [133] 1759367456075035, 3.01178, -0.00248758, -0.342378, -0.30962, -0.9996, -0.00884184, 0.0128533, 0.0236039, 0.00456171, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.077789] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [135] 1759367456077676, 3.01442, -0.00248758, -0.342378, -0.30962, -0.9996, -0.00884184, 0.0128533, 0.0236039, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.080468] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [136] 1759367456080357, 3.0171, -0.00251382, -0.342386, -0.309618, -0.999601, -0.00882322, 0.012747, 0.0236122, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:56.084956] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [137] 1759367456084819, 3.02156, -0.00251382, -0.342386, -0.309618, -0.999601, -0.00882322, 0.012747, 0.0236122, -0.00262406, 0, 0, 0, 0, 0, 
